"filename", "language", "Markdown", "JSON", "JavaScript", "XML", "HTML", "SCSS", "CSS", "comment", "blank", "total"
"c:\Users\15209\Desktop\todistclone\README.md", "Markdown", 126, 0, 0, 0, 0, 0, 0, 0, 40, 166
"c:\Users\15209\Desktop\todistclone\package-lock.json", "JSON", 0, 17337, 0, 0, 0, 0, 0, 0, 1, 17338
"c:\Users\15209\Desktop\todistclone\package.json", "JSON", 0, 37, 0, 0, 0, 0, 0, 0, 1, 38
"c:\Users\15209\Desktop\todistclone\public\index.html", "HTML", 0, 0, 0, 0, 14, 0, 0, 0, 2, 16
"c:\Users\15209\Desktop\todistclone\src\App.css", "CSS", 0, 0, 0, 0, 0, 0, 404, 8, 63, 475
"c:\Users\15209\Desktop\todistclone\src\App.js", "JavaScript", 0, 0, 16, 0, 0, 0, 0, 0, 4, 20
"c:\Users\15209\Desktop\todistclone\src\App.min.css", "CSS", 0, 0, 0, 0, 0, 0, 1, 0, 1, 2
"c:\Users\15209\Desktop\todistclone\src\App.scss", "SCSS", 0, 0, 0, 0, 0, 442, 0, 23, 92, 557
"c:\Users\15209\Desktop\todistclone\src\components\AddProject.js", "JavaScript", 0, 0, 75, 0, 0, 0, 0, 0, 5, 80
"c:\Users\15209\Desktop\todistclone\src\components\AddTask.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 2, 3
"c:\Users\15209\Desktop\todistclone\src\components\Checkbox.js", "JavaScript", 0, 0, 18, 0, 0, 0, 0, 0, 3, 21
"c:\Users\15209\Desktop\todistclone\src\components\Projects.js", "JavaScript", 0, 0, 32, 0, 0, 0, 0, 0, 4, 36
"c:\Users\15209\Desktop\todistclone\src\components\Tasks.js", "JavaScript", 0, 0, 34, 0, 0, 0, 0, 0, 8, 42
"c:\Users\15209\Desktop\todistclone\src\components\layout\Content.js", "JavaScript", 0, 0, 9, 0, 0, 0, 0, 0, 3, 12
"c:\Users\15209\Desktop\todistclone\src\components\layout\Header.js", "JavaScript", 0, 0, 23, 0, 0, 0, 0, 0, 2, 25
"c:\Users\15209\Desktop\todistclone\src\components\layout\IndividualProject.js", "JavaScript", 0, 0, 58, 0, 0, 0, 0, 0, 11, 69
"c:\Users\15209\Desktop\todistclone\src\components\layout\Sidebar.js", "JavaScript", 0, 0, 67, 0, 0, 0, 0, 1, 13, 81
"c:\Users\15209\Desktop\todistclone\src\constants\index.js", "JavaScript", 0, 0, 5, 0, 0, 0, 0, 0, 1, 6
"c:\Users\15209\Desktop\todistclone\src\context\index.js", "JavaScript", 0, 0, 8, 0, 0, 0, 0, 0, 1, 9
"c:\Users\15209\Desktop\todistclone\src\context\projects-context.js", "JavaScript", 0, 0, 12, 0, 0, 0, 0, 8, 7, 27
"c:\Users\15209\Desktop\todistclone\src\context\selected-project-context.js", "JavaScript", 0, 0, 14, 0, 0, 0, 0, 4, 8, 26
"c:\Users\15209\Desktop\todistclone\src\firebase.js", "JavaScript", 0, 0, 12, 0, 0, 0, 0, 0, 2, 14
"c:\Users\15209\Desktop\todistclone\src\helpers\index.js", "JavaScript", 0, 0, 25, 0, 0, 0, 0, 0, 10, 35
"c:\Users\15209\Desktop\todistclone\src\hooks\index.js", "JavaScript", 0, 0, 65, 0, 0, 0, 0, 6, 11, 82
"c:\Users\15209\Desktop\todistclone\src\index.js", "JavaScript", 0, 0, 5, 0, 0, 0, 0, 0, 2, 7
"c:\Users\15209\Desktop\todistclone\src\logo.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\15209\Desktop\todistclone\src\reportWebVitals.js", "JavaScript", 0, 0, 12, 0, 0, 0, 0, 0, 2, 14
"c:\Users\15209\Desktop\todistclone\src\setupTests.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 4, 1, 6
"Total", "-", 126, 17374, 492, 1, 14, 442, 405, 54, 300, 19208